ESSID	Quality	Scan Time
62/70	level	Sun 03 Dec 2023 12:39:08 PM PST
56/70	level	Sun 03 Dec 2023 12:39:08 PM PST
51/70	level	Sun 03 Dec 2023 12:39:08 PM PST
42/70	level	Sun 03 Dec 2023 12:39:08 PM PST
39/70	level	Sun 03 Dec 2023 12:39:08 PM PST
35/70	level	Sun 03 Dec 2023 12:39:08 PM PST
35/70	level	Sun 03 Dec 2023 12:39:08 PM PST
53/70	level	Sun 03 Dec 2023 12:39:08 PM PST
55/70	level	Sun 03 Dec 2023 12:39:08 PM PST
43/70	level	Sun 03 Dec 2023 12:39:08 PM PST
53/70	level	Sun 03 Dec 2023 12:39:08 PM PST
44/70	level	Sun 03 Dec 2023 12:39:08 PM PST